Birkenstock,,Source of truth: Triple Whale

DAILY ENTRY
Date,Spend,Sales,Revenue,ROAS,CPA/CPO,NC ROAS,NCAC,NVP
2026-06-29,5100,205,19900,3.90,24.88,2.10,42.50,54%
2026-06-30,5150,206,19950,3.87,25.00,2.12,42.60,54%
2026-07-01,5100,204,19900,3.90,25.00,2.13,42.70,55%
2026-07-02,0,0,0,0,0,0,0,0%
2026-07-03,5200,208,20050,3.86,25.00,2.14,42.75,55%
2026-07-04,0,0,0,0,0,0,0,0%
2026-07-05,5150,207,20000,3.88,24.88,2.15,42.80,55%
2026-07-06,5200,210,20500,3.94,24.76,2.20,41.00,55%
2026-07-07,5350,215,21000,3.93,24.88,2.30,42.20,56%
2026-07-08,5400,218,21200,3.93,24.77,2.40,43.10,58%
2026-07-09,5500,220,21500,3.91,25.00,2.35,43.50,57%
