Huggers,,Source of truth: Google Ads

"DAILY ENTRY — append one row per day, pulled from the client's source of truth. Never delete."
Date,Spend,Sales,Revenue,ROAS,CPA/CPO,NC ROAS,NCAC,NVP
"June 30, 2026",3980.91,143,13095.76,3.29,27.84,2.03,42.35,73%
"July 1, 2026",5979.68,164,15436.38,2.58,36.42,1.74,53.81,76.15%
"July 2, 2026",5052.56,153,14674.09,2.90,33.02,2.03,45.11,75.73%
"July 3, 2026",5621.72,155,13649.63,2.43,36.27,1.65,52.05,77.30%
"July 4, 2026",5216.67,123,11616.68,2.23,42.41,61.37,61.37,77.62%
"July 5, 2026",6047.55,188,16352.80,2.70,32.17,1.98,42.29,78.21%
"July 6, 2026",6527.13,167,14434.71,2.21,39.08,1.58,52.22,75.74%
"July 7, 2026",6297.90,158,14685.83,2.33,39.86,1.65,53.83,77.13%
"July 8, 2026",7642.85,185,16862.19,2.21,41.31,1.38,60.66,80.01%
"July 9, 2026",6103.37,180,18111.29,2.97,33.91,2.21,45.55,77.50%
"July 10, 2026",4695.67,175,17159.85,3.65,26.83,2.32,26.83,73.25%
"July 11, 2026",4673.16,126,11168.40,2.39,37.09,1.69,49.71,73.64%
"July 12, 2026",5768.35,127,11195.00,1.94,45.42,1.43,60.09,77.26%
"July 13, 2026",6310.39,193,15774.06,2.50,32.70,1.87,43.22,75.64%
"July 14, 2026",5921.56,164,16675.76,2.82,36.11,2.06,49.35,76.01%
