Northbrook,,Source of truth: Google Ads

DAILY ENTRY
Date,Spend,Sales,Revenue,ROAS,CPA/CPO,NC ROAS,NCAC,NVP
"June 29, 2026",6610.00,259,15540.00,2.35,25.52,2.02,35.90,61%
"June 30, 2026",6610.00,259,15540.00,2.35,25.52,2.03,35.85,61%
"July 1, 2026",6610.00,259,15540.00,2.35,25.52,2.03,35.80,62%
"July 2, 2026",6610.00,259,15540.00,2.35,25.52,2.04,35.75,62%
"July 3, 2026",6610.00,259,15540.00,2.35,25.52,2.04,35.70,62%
"July 4, 2026",6610.00,259,15540.00,2.35,25.52,2.05,35.66,63%
"July 5, 2026",6611.00,259,15540.00,2.35,25.53,2.05,35.63,63%
"July 6, 2026",7452.50,275,17325.00,2.32,27.10,2.05,34.80,62%
"July 7, 2026",7560.00,280,17640.00,2.33,27.00,2.08,34.60,63%
"July 8, 2026",7666.50,285,18240.00,2.38,26.90,2.10,34.30,64%
"July 9, 2026",10764.00,422,26564.00,2.47,25.51,2.18,33.70,67%
"July 10, 2026",7260.00,275,17325.00,2.39,26.40,2.12,33.50,65%
"July 11, 2026",7021.60,268,16884.00,2.40,26.20,2.11,34.00,64%
"July 12, 2026",6875.40,262,16244.00,2.36,26.24,2.09,34.20,64%
