Switchup,,Source of truth: Google Ads

DAILY ENTRY
Date,Spend,Sales,Revenue,ROAS,CPA/CPO,NC ROAS,NCAC,NVP
2026-06-22,4200,138,13340.00,3.18,30.43,1.90,52.10,48%
2026-06-23,4250,139,13450.00,3.16,30.58,1.91,52.00,48%
2026-06-24,4300,140,13580.00,3.16,30.71,1.92,51.90,49%
2026-06-25,4300,140,13580.00,3.16,30.71,1.92,51.85,49%
2026-06-26,4350,141,13690.00,3.15,30.85,1.93,51.80,49%
2026-06-27,4350,141,13690.00,3.15,30.85,1.93,51.75,50%
2026-06-28,4400,142,13800.00,3.14,30.99,1.94,51.70,50%
2026-06-29,4300,140,13720.00,3.19,30.71,1.95,51.60,50%
2026-06-30,4400,143,14014.00,3.19,30.77,1.96,51.50,51%
2026-07-01,4500,145,14297.00,3.18,31.03,1.97,51.40,51%
2026-07-02,4500,144,14169.60,3.15,31.25,1.98,51.30,51%
2026-07-03,4600,146,14454.00,3.14,31.51,1.99,51.20,52%
2026-07-04,4600,145,14297.00,3.11,31.72,2.00,51.10,52%
2026-07-05,4600,145,14235.60,3.09,31.72,2.01,51.00,52%
2026-07-06,4650,147,14553.00,3.13,31.63,2.02,50.90,52%
2026-07-07,4700,148,14652.00,3.12,31.76,2.03,50.80,53%
2026-07-08,4720,149,14751.00,3.13,31.68,2.03,50.70,53%
2026-07-09,4680,148,14652.00,3.13,31.62,2.04,50.60,53%
2026-07-10,4750,150,14850.00,3.13,31.67,2.05,50.50,54%
2026-07-11,4700,149,14751.00,3.14,31.54,2.05,50.45,54%
2026-07-12,4800,152,15048.00,3.14,31.58,2.06,50.40,54%
